,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
28,MX2400_MY100,Fail,default,1,SIGNAL,1.0,nominal,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY100_CR.root,mjjvsmY_CR_Fail_nom_weight,MX2400_MY100,XtoHY,,,,,,
29,MX2400_MY250,Fail,default,1,SIGNAL,1.0,lumi,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_nom_weight,MX2400_MY250,XtoHY,,,lnN,,,1.019
30,MX2400_MY250,Fail,default,1,SIGNAL,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_RF_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,RF,
31,MX2400_MY250,Fail,default,1,SIGNAL,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_RF_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,RF,
32,MX2400_MY250,Fail,default,1,SIGNAL,1.0,R,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_R_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,R,
33,MX2400_MY250,Fail,default,1,SIGNAL,1.0,R,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_R_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,R,
34,MX2400_MY250,Fail,default,1,SIGNAL,1.0,btag,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_btag_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,btag,
35,MX2400_MY250,Fail,default,1,SIGNAL,1.0,btag,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_btag_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,btag,
36,MX2400_MY250,Fail,default,1,SIGNAL,1.0,pdf,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_pdf_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,pdf,
37,MX2400_MY250,Fail,default,1,SIGNAL,1.0,pdf,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_pdf_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,pdf,
