,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
330,TTToHadronic,Fail,default,2,BKG,1.0,top_ptrw,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_top_ptrw_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,top_ptrw,
331,TTToHadronic,Fail,default,2,BKG,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JES_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,JES,
332,TTToHadronic,Fail,default,2,BKG,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JES_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,JES,
333,TTToHadronic,Fail,default,2,BKG,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JER_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,JER,
334,TTToHadronic,Fail,default,2,BKG,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JER_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,JER,
335,TTToHadronic,Fail,default,2,BKG,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JMS_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,JMS,
336,TTToHadronic,Fail,default,2,BKG,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JMS_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,JMS,
337,TTToHadronic,Fail,default,2,BKG,1.0,JMR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JMR_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,JMR,
338,TTToHadronic,Fail,default,2,BKG,1.0,JMR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_JMR_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,JMR,
339,TTToHadronic,Fail,default,2,BKG,1.0,nominal,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Fail_nom_weight,TTToHadronic,t#bar{t},,,,,,
340,data_obs,Loose,default,1,DATA,1.0,nominal,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/JetHT_merged_CR.root,Loose,JetHT_merged,Data,,,,,,
509,MX3000_MY300,Loose,default,1,SIGNAL,1.0,lumi,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_nom_weight,MX3000_MY300,XtoHY,,,lnN,,,1.0190000000000001
510,MX3000_MY300,Loose,default,1,SIGNAL,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_RF_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,RF,
511,MX3000_MY300,Loose,default,1,SIGNAL,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_RF_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,RF,
512,MX3000_MY300,Loose,default,1,SIGNAL,1.0,R,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_R_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,R,
513,MX3000_MY300,Loose,default,1,SIGNAL,1.0,R,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_R_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,R,
514,MX3000_MY300,Loose,default,1,SIGNAL,1.0,btag,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_btag_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,btag,
515,MX3000_MY300,Loose,default,1,SIGNAL,1.0,btag,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_btag_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,btag,
516,MX3000_MY300,Loose,default,1,SIGNAL,1.0,pdf,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_pdf_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,pdf,
517,MX3000_MY300,Loose,default,1,SIGNAL,1.0,pdf,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_pdf_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,pdf,
518,MX3000_MY300,Loose,default,1,SIGNAL,1.0,pileup,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_pileup_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,pileup,
