,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
188,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JES_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JES,
189,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JES,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JES_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,JES,
190,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JER_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JER,
191,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JER,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JER_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,JER,
192,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JMS_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JMS,
193,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JMS,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JMS_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,JMS,
194,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JMR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JMR_up,MX3000_MY300,XtoHY,,Up,shapes,1.0,JMR,
195,MX3000_MY300,Loose,default,1,SIGNAL,1.0,JMR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_JMR_down,MX3000_MY300,XtoHY,,Down,shapes,1.0,JMR,
196,MX3000_MY300,Loose,default,1,SIGNAL,1.0,nominal,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX3000_MY300_CR.root,mjjvsmY_CR_Loose_nom_weight,MX3000_MY300,XtoHY,,,,,,
309,TTToHadronic,Loose,default,2,BKG,1.0,lumi,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Loose_nom_weight,TTToHadronic,t#bar{t},,,lnN,,,1.0190000000000001
310,TTToHadronic,Loose,default,2,BKG,1.0,ttbar_xsec,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Loose_nom_weight,TTToHadronic,t#bar{t},,,lnN,,,1.2
311,TTToHadronic,Loose,default,2,BKG,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Loose_RF_up,TTToHadronic,t#bar{t},,Up,shapes,1.0,RF,
312,TTToHadronic,Loose,default,2,BKG,1.0,RF,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/TTToHadronic_CR.root,mjjvsmY_CR_Loose_RF_down,TTToHadronic,t#bar{t},,Down,shapes,1.0,RF,
